Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP,ST
11657_7#3,2010.0,S,S,S,,S,S,S,S,S,S,S,S,5308
11658_3#5,2010.0,S,S,R,,R,S,S,S,S,S,R,S,73
11657_6#11,2010.0,S,S,R,,R,S,R,R,R,R,R,S,131
11679_6#4,2010.0,S,S,S,,S,S,S,S,S,S,R,R,69
11679_8#1,2010.0,S,S,S,,S,S,S,S,S,S,S,S,131
11657_7#4,2010.0,S,S,R,,S,S,S,S,S,S,S,S,73
11657_7#5,2010.0,S,S,R,,R,S,S,S,S,S,R,S,38
11679_6#5,2010.0,S,S,R,,R,S,R,R,S,S,S,S,753
11657_6#12,2010.0,S,S,R,,S,S,S,S,S,S,R,S,10
11657_7#6,2010.0,S,S,S,,S,S,S,S,S,S,S,S,127
11679_4#4,2010.0,S,S,R,,S,S,S,S,S,S,S,R,131
11657_6#13,2010.0,S,S,R,,S,S,S,S,S,S,S,S,73
11679_7#2,2010.0,S,S,S,,S,S,S,S,S,S,S,S,420
11657_7#7,2010.0,S,S,R,,S,S,S,S,S,S,R,S,131
11657_7#8,2010.0,S,S,R,,S,S,S,S,S,S,S,S,5678
11679_4#5,2010.0,S,S,R,,S,S,S,S,S,S,R,R,95
11679_5#3,2010.0,S,S,S,,S,S,S,S,S,S,S,S,95
11657_6#14,2010.0,S,S,R,,R,R,S,S,R,S,R,R,131
11657_7#9,2010.0,S,S,R,,S,S,S,S,S,S,S,R,453
11657_5#14,2010.0,S,S,R,,S,S,S,S,S,S,R,S,69
11657_7#10,2010.0,S,S,R,,S,S,S,S,S,S,S,S,46
11657_6#15,2010.0,S,S,R,,S,S,S,S,S,S,S,S,357
11657_7#11,2010.0,S,S,R,,S,S,S,S,S,S,S,S,73
11657_7#12,2010.0,S,R,R,,R,S,R,R,R,R,R,R,131
11657_6#16,2010.0,S,S,R,,R,S,S,S,S,S,S,R,131
11679_4#6,2010.0,S,S,R,,S,S,S,S,S,S,S,S,141
11657_7#13,2010.0,S,S,S,,S,S,S,S,S,S,S,S,59
11679_8#2,2010.0,S,S,R,,S,S,S,S,S,S,S,S,69
11679_4#7,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_3#6,2010.0,S,S,S,,S,S,S,S,S,S,S,S,442
11679_7#4,2010.0,S,S,R,,R,S,R,R,S,S,S,S,5328
11657_7#14,2010.0,S,S,S,,S,S,S,S,S,S,S,S,646
11657_7#15,2011.0,S,S,S,,S,S,S,S,S,S,S,S,550
11658_3#7,2011.0,S,S,S,,S,S,S,S,S,S,S,S,59
11679_8#3,2011.0,S,S,R,,R,S,R,R,S,S,S,S,538
11657_5#15,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11679_7#5,2011.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_3#8,2011.0,S,S,S,,S,S,S,S,S,S,S,S,131
11657_7#16,2011.0,S,S,R,,S,S,S,S,S,S,S,S,95
11679_5#4,2011.0,S,S,R,,S,S,S,S,R,R,R,R,69
11679_7#6,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11657_6#17,2011.0,S,S,S,,S,S,S,S,S,S,S,S,127
11679_8#4,2011.0,S,S,S,,S,S,S,S,S,S,S,S,5585
11658_3#9,2011.0,S,S,R,,S,S,S,S,S,S,R,S,69
11657_5#16,2011.0,S,S,R,,R,S,R,S,R,R,R,R,361
11658_3#10,2011.0,S,S,S,,S,S,R,S,S,S,S,S,357
11679_8#5,2011.0,S,S,S,,S,S,S,S,S,S,S,S,963
11679_4#8,2011.0,R,R,R,,R,R,R,R,S,R,R,R,131
11657_6#18,2011.0,S,S,R,,S,S,S,S,S,S,S,S,550
