Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP,ST
11658_8#88,2004.0,S,S,,S,S,S,S,,S,,,S,2802
11658_8#89,2004.0,S,S,,R,R,S,S,,S,,,S,73
11657_5#47,2004.0,S,S,,S,S,S,S,,S,,,S,73
11658_8#90,2004.0,S,S,,S,S,S,S,,S,,,S,372
11791_7#60,2004.0,R,R,,R,R,S,R,,R,,,R,131
11791_6#22,2004.0,S,S,,S,S,S,S,,S,,,S,73
11791_7#61,2004.0,S,S,,S,S,S,S,,S,,,S,73
11679_4#31,2004.0,S,S,,R,R,R,S,,S,,,S,83
11658_6#85,2005.0,S,S,,S,S,S,S,,S,,,S,652
11657_6#45,2005.0,S,S,,R,R,R,S,,S,,,S,95
11658_4#53,2005.0,S,S,,R,S,S,S,,S,,,S,73
11658_4#54,2005.0,S,S,,R,S,S,S,,S,,,S,73
11658_6#86,2005.0,S,S,,S,S,S,S,,S,,,S,1231
11658_6#87,2005.0,S,S,,S,S,S,S,,S,,,S,5597
11658_8#91,2005.0,S,S,,R,R,S,S,,S,,,S,95
11658_4#55,2005.0,S,S,,R,S,S,S,,S,,,S,538
11791_7#62,2005.0,S,S,,S,S,S,S,,S,,,S,73
11658_3#34,2005.0,S,S,,S,S,S,S,,S,,,S,95
11658_5#87,2005.0,R,R,,R,R,S,R,,R,,,R,131
11658_5#88,2005.0,S,S,,R,S,S,S,,S,,,S,14
11657_5#48,2005.0,S,S,,S,S,S,S,,S,,,S,73
11658_6#88,2005.0,R,R,,R,R,R,R,,S,,,R,131
11658_6#89,2005.0,S,S,,S,S,S,S,,S,,,S,73
11658_8#92,2005.0,S,S,,R,R,S,S,,R,,,R,131
11658_4#56,2005.0,S,S,,S,S,S,S,,S,,,S,295
11657_7#45,2003.0,S,S,,R,R,S,S,,S,,,R,393
11679_6#39,2005.0,S,S,,S,S,S,S,,S,,,S,73
11658_4#57,2005.0,S,S,,R,S,S,S,,S,,,S,131
11679_8#45,2005.0,S,S,,S,S,S,S,,S,,,S,95
11679_5#31,2005.0,S,S,,R,R,S,R,,S,,,S,73
11791_3#38,2005.0,S,S,,S,S,S,S,,S,,,S,95
11679_4#32,2005.0,S,S,,R,S,S,S,,R,,,R,131
11658_4#58,2005.0,S,S,,R,R,S,S,,R,,,S,95
11679_8#46,2005.0,S,S,,S,S,S,S,,S,,,S,73
11679_6#40,2005.0,S,S,,R,S,S,S,,S,,,S,95
11679_5#32,2005.0,S,S,,S,S,S,S,,S,,,S,73
11791_3#39,2005.0,S,S,,R,R,S,S,,S,,,S,62
11791_3#40,2005.0,S,S,,S,S,S,S,,S,,,S,73
11679_8#47,2005.0,S,S,,R,R,S,S,,R,,,S,69
11658_3#35,2005.0,S,S,,S,S,S,S,,S,,,S,73
11658_3#36,2005.0,S,S,,S,S,S,S,,S,,,R,131
11791_6#23,2005.0,S,S,,R,S,S,S,,S,,,S,73
11679_8#48,2005.0,S,S,,R,S,S,S,,S,,,S,69
11657_5#49,2005.0,S,S,,S,S,S,S,,S,,,S,95
11679_4#33,2005.0,S,S,,R,S,S,S,,S,,,S,59
11679_6#41,2005.0,S,S,,S,S,S,S,,S,,,S,91
11679_7#29,2005.0,S,S,,S,S,S,S,,S,,,S,88
11679_4#34,2005.0,S,S,,R,R,S,S,,S,,,R,648
11791_3#41,2005.0,S,S,,S,S,S,S,,S,,,S,62
11679_6#42,2005.0,S,S,,S,S,S,S,,S,,,S,95
11657_7#46,2005.0,S,S,,R,S,S,S,,S,,,S,58
11679_5#33,2005.0,S,S,,R,S,S,S,,S,,,R,131
11679_8#49,2005.0,S,S,,R,S,S,S,,S,,,S,2272
11679_4#35,2005.0,S,S,,R,S,S,S,,S,,,R,131
11679_7#30,2005.0,S,S,,S,S,S,S,,S,,,S,127
11679_7#31,2005.0,S,S,,S,S,S,R,,S,,,S,357
11679_7#32,2005.0,S,S,,R,S,S,S,,S,,,S,69
11679_5#34,2005.0,S,S,,S,S,S,S,,S,,,S,69
11657_6#46,2005.0,S,S,,S,S,S,S,,S,,,S,73
11791_3#42,2005.0,S,S,,S,S,S,S,,S,,,S,73
11679_6#43,2005.0,S,S,,S,S,S,S,,S,,,S,73
11657_6#47,2005.0,S,S,,S,S,S,S,,S,,,S,131
11679_4#36,2005.0,S,S,,R,R,S,S,,S,,,S,95
11657_5#50,2005.0,S,S,,S,S,S,S,,S,,,S,73
11679_5#35,2005.0,S,S,,R,R,S,R,,S,,,R,533
11791_3#43,2005.0,S,R,,R,R,S,R,,S,,,R,131
11679_6#44,2005.0,S,S,,R,S,S,S,,S,,,S,95
11658_3#37,2005.0,S,S,,R,R,S,S,,S,,,S,12
11679_7#34,2005.0,S,S,,S,S,S,S,,S,,,S,1057
11679_4#37,2005.0,S,S,,S,S,S,S,,S,,,S,14
11679_8#50,2005.0,S,S,,R,S,S,S,,S,,,S,69
11791_3#44,2005.0,S,S,,R,S,S,S,,S,,,S,69
11658_5#89,2005.0,S,S,,S,S,S,S,,S,,,S,95
11893_8#71,2005.0,S,S,,S,S,S,S,,S,,,S,23
11657_7#47,2005.0,S,S,,R,R,S,S,,S,,,R,131
11657_5#51,2005.0,S,S,,S,S,S,S,,S,,,S,452
11658_3#38,2005.0,R,R,,R,R,S,R,,R,,,R,131
11679_6#45,2005.0,S,S,,R,S,S,S,,S,,,S,131
11657_5#52,2005.0,R,R,,R,R,S,R,,R,,,R,10
11679_6#46,2005.0,S,S,,R,S,S,R,,S,,,R,38
11658_5#90,2005.0,S,S,,R,S,S,S,,S,,,S,95
11679_6#47,2005.0,S,S,,R,S,S,R,,S,,,R,5648
11791_3#45,2005.0,S,S,,S,S,S,S,,S,,,S,5628
11657_7#48,2005.0,S,S,,R,S,S,S,,S,,,S,73
11657_7#49,2005.0,S,S,,R,S,S,S,,S,,,S,95
11658_4#59,2005.0,S,R,,R,S,S,R,,S,,,S,73
11679_4#38,2005.0,S,R,,R,S,S,R,,S,,,S,73
11658_3#39,2005.0,S,R,,R,S,S,R,,S,,,S,73
11679_7#35,2005.0,S,S,,R,R,S,S,,S,,,S,95
11658_4#60,2005.0,S,S,,R,R,S,S,,S,,,S,131
11679_8#52,2006.0,S,S,,S,S,S,S,,S,,,S,847
11657_7#50,2006.0,S,S,,S,S,S,S,,S,,,S,95
11679_7#36,2006.0,S,S,,S,S,S,S,,S,,,S,104
11657_5#53,2006.0,S,S,,S,S,S,S,,S,,,S,95
11679_6#48,2006.0,S,S,,R,S,S,S,,S,,,S,48
11791_3#46,2006.0,S,S,,R,R,S,S,,S,,,S,372
11791_3#47,2006.0,S,S,,S,S,S,S,,S,,,S,127
11679_4#39,2006.0,S,S,,R,R,S,R,,R,,,R,131
11658_4#61,2006.0,R,R,,R,R,R,R,,S,,,R,131
11679_4#40,2006.0,S,S,,R,R,S,S,,S,,,R,131
11679_4#41,2006.0,S,S,,R,R,S,S,,S,,,S,73
11679_4#42,2006.0,S,S,,S,S,S,S,,S,,,S,73
11658_6#90,2006.0,S,S,,S,S,S,S,,S,,,S,73
11658_7#65,2006.0,R,R,,R,R,S,R,,R,,,R,131
11657_6#48,2006.0,S,S,,R,S,S,S,,S,,,S,73
11791_3#48,2006.0,S,S,,R,R,S,S,,S,,,S,73
11658_7#66,2006.0,R,R,,R,R,S,R,,R,,,R,5491
11657_7#51,2006.0,S,S,,R,S,S,S,,S,,,S,14
11679_4#43,2006.0,S,S,,R,S,S,S,,S,,,S,127
11679_5#36,2006.0,R,R,,R,R,S,R,,R,,,R,410
11679_8#53,2006.0,S,S,,S,S,S,S,,S,,,S,357
11657_5#54,2006.0,S,S,,S,S,S,S,,S,,,S,95
11658_3#40,2006.0,S,S,,R,S,S,S,,S,,,S,127
11658_7#67,2006.0,S,S,,R,S,S,S,,S,,,R,131
11679_8#54,2006.0,S,S,,S,S,S,S,,S,,,S,58
11658_7#68,2006.0,S,S,,S,S,S,S,,S,,,S,95
11657_6#49,2006.0,S,S,,S,S,S,S,,S,,,S,5425
11658_7#69,2006.0,S,S,,R,R,R,S,,S,,,S,5384
11791_3#49,2007.0,S,S,,S,S,S,R,,S,,,S,131
11679_7#37,2006.0,S,S,,R,S,S,S,,S,,,S,69
11679_4#44,2007.0,S,S,,R,R,S,S,,S,,,S,131
11679_6#49,2007.0,S,S,,R,S,S,S,,S,,,S,131
11679_8#55,2007.0,R,R,,R,S,S,R,,S,,,R,57
11679_5#37,2007.0,S,S,,R,S,S,S,,S,,,S,95
11679_8#56,2007.0,S,S,,R,S,S,S,,S,,,S,62
11657_6#50,2007.0,S,S,,R,S,S,S,,S,,,S,95
11657_5#55,2007.0,S,S,,R,R,S,S,,S,,,S,73
11679_4#45,2007.0,S,S,,S,S,S,S,,S,,,S,95
11679_8#57,2007.0,S,S,,R,S,S,S,,S,,,S,131
11658_4#62,2007.0,S,S,,S,S,S,R,,S,,,S,416
11657_6#51,2007.0,R,R,,R,S,S,R,,S,,,R,131
11679_5#38,2007.0,S,S,,S,S,S,S,,S,,,S,95
11657_5#56,2007.0,S,S,,R,S,S,S,,S,,,S,95
11679_8#58,2007.0,S,S,,R,R,S,S,,S,,,S,69
11657_6#52,2007.0,S,S,,R,R,R,S,,S,,,S,73
11679_4#46,2007.0,S,S,,R,R,R,S,,R,,,S,12
11657_5#57,2007.0,S,S,,R,S,S,S,,S,,,R,357
11791_3#50,2007.0,S,S,,R,S,S,S,,R,,,S,101
11679_4#47,2007.0,S,S,,S,S,S,S,,S,,,S,429
11658_3#41,2007.0,S,S,,R,R,S,S,,S,,,S,131
11657_7#52,2007.0,S,S,,R,S,S,S,,S,,,R,131
11679_4#48,2007.0,S,S,,R,S,S,S,,S,,,S,95
11658_7#70,2007.0,S,S,,R,S,S,S,,S,,,S,95
11658_3#42,2007.0,S,S,,R,R,S,R,,S,,,R,131
11679_5#39,2007.0,S,S,,S,S,S,S,,S,,,S,95
11791_3#51,2007.0,S,S,,R,R,S,S,,S,,,S,58
11679_7#38,2007.0,S,S,,S,S,S,S,,S,,,S,372
11679_6#50,2007.0,S,S,,S,S,S,S,,S,,,R,95
11658_4#63,2007.0,R,R,,R,R,S,R,,R,,,R,405
11657_6#53,2007.0,S,S,,S,S,S,S,,S,,,S,95
11679_4#49,2007.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#53,2007.0,S,S,,R,R,S,S,,S,,,R,131
11679_5#40,2007.0,S,S,,S,S,S,S,,S,,,S,538
11791_3#52,2007.0,S,S,,R,S,S,S,,S,,,S,117
11679_5#41,2007.0,S,S,,S,S,S,S,,S,,,S,141
11657_6#54,2006.0,S,S,,R,S,S,S,,S,,,S,12
11657_6#55,2007.0,S,S,,S,S,S,S,,S,,,S,117
11657_7#54,2007.0,S,R,,R,R,S,R,,S,,,R,131
11679_7#39,2007.0,S,S,,S,S,S,S,,S,,,S,1972
11679_8#59,2007.0,S,S,,R,S,S,S,,R,,,R,354
11791_3#53,2007.0,S,S,,S,S,S,S,,S,,,S,5662
11679_5#42,2007.0,R,R,,R,R,S,R,,R,,,R,167
11791_3#54,2007.0,S,S,,S,S,S,S,,S,,,S,69
11657_7#55,2009.0,S,S,,R,S,S,S,,R,,,R,131
11679_5#43,2006.0,S,S,,R,S,S,S,,S,,,S,405
11679_4#50,2007.0,S,S,,R,S,S,R,,S,,,R,393
11679_7#40,2007.0,S,S,,S,S,S,S,,S,,,S,5360
11657_7#56,2007.0,S,R,,R,S,S,R,,S,,,R,131
11658_3#43,2007.0,S,S,,R,S,S,R,,S,,,S,95
11679_5#44,2007.0,S,R,,R,R,S,R,,S,,,R,131
11679_8#60,2007.0,S,S,,S,S,S,S,,S,,,S,95
11679_8#61,2007.0,S,S,,R,R,S,S,,S,,,S,681
11679_8#62,2007.0,S,S,,S,S,S,S,,S,,,S,127
11657_5#58,2007.0,S,S,,S,S,S,S,,S,,,S,73
11657_5#59,2007.0,S,S,,R,R,S,S,,S,,,S,83
11679_8#63,2007.0,S,S,,R,R,S,S,,S,,,S,23
11657_5#60,2007.0,S,S,,R,R,S,S,,S,,,R,648
11791_3#55,2008.0,S,S,,R,R,R,R,,S,,,R,443
11791_3#56,2008.0,S,S,,R,R,S,S,,S,,,S,80
11679_7#41,2006.0,S,S,,R,R,S,R,,S,,,R,393
11657_6#56,2009.0,S,S,,S,S,S,S,,S,,,S,1262
11679_6#51,2007.0,S,S,,R,S,S,S,,R,,,S,62
11679_6#52,2008.0,S,S,,R,R,S,R,,S,,,S,106
11679_8#64,2008.0,R,R,,R,R,R,R,,R,,,R,405
11791_3#57,2008.0,S,S,,R,R,S,R,,S,,,S,12
11657_7#57,2007.0,S,S,,R,S,S,S,,R,,,R,131
11658_3#44,2008.0,S,S,,S,S,S,S,,S,,,S,141
11657_5#61,2008.0,R,R,,R,S,S,R,,R,,,R,131
11679_4#52,2008.0,R,R,,R,R,S,R,,S,,,R,131
11658_4#64,2008.0,S,S,,S,S,S,R,,S,,,S,95
11657_7#58,2008.0,R,R,,R,R,S,R,,R,,,R,131
11679_7#42,2009.0,S,S,,R,R,S,R,,S,,,R,131
11658_3#45,2009.0,S,S,,R,S,S,S,,S,,,S,540
11791_3#58,2009.0,S,S,,S,S,S,S,,S,,,S,131
11679_7#43,2008.0,S,S,,R,R,S,S,,S,,,S,38
11679_7#44,2008.0,R,R,,R,R,S,R,,R,,,R,131
11657_6#57,2008.0,S,S,,R,S,S,R,,S,,,S,10
11657_7#59,2008.0,S,S,,R,R,S,S,,S,,,S,131
11679_8#65,2008.0,S,S,,R,S,S,S,,S,,,S,349
11679_5#45,2008.0,S,S,,S,S,S,S,,S,,,S,357
11679_6#53,2008.0,S,S,,R,R,S,S,,S,,,S,12
11791_3#59,2007.0,S,S,,S,S,S,S,,S,,,S,127
11679_4#53,2007.0,S,S,,R,R,S,R,,S,,,R,131
11657_7#60,2008.0,S,S,,S,S,S,S,,S,,,S,73
11679_4#54,2008.0,R,R,,R,R,S,R,,R,,,R,131
11657_6#58,2008.0,S,S,,R,S,S,S,,S,,,S,95
11679_6#54,2008.0,S,S,,S,S,S,S,,S,,,S,421
11679_7#45,2008.0,S,S,,R,S,S,S,,S,,,S,5383
11679_5#46,2008.0,S,S,,S,S,S,R,,S,,,S,978
11679_6#55,2008.0,S,S,,R,R,S,S,,S,,,S,73
11657_5#62,2006.0,S,S,,S,S,S,S,,S,,,S,5425
11657_6#59,2006.0,S,S,,S,S,S,S,,S,,,S,144
11679_8#66,2006.0,S,S,,R,S,S,S,,S,,,S,69
11679_5#47,2006.0,S,S,,S,S,S,S,,S,,,S,73
11658_3#46,2006.0,S,S,,S,S,S,S,,S,,,S,73
11679_4#55,2006.0,S,S,,S,S,S,S,,S,,,S,73
11657_5#63,2006.0,S,S,,S,S,S,S,,S,,,S,357
11679_6#56,2006.0,S,S,,R,R,S,S,,S,,,S,14
11658_3#47,2006.0,S,S,,S,S,S,S,,S,,,S,73
11791_3#60,2006.0,S,S,,S,S,S,S,,S,,,S,1858
11679_4#56,2006.0,R,R,,R,R,S,R,,S,,,R,131
11679_5#48,2006.0,S,S,,R,S,S,S,,S,,,S,1081
11679_8#67,2006.0,S,S,,R,R,S,S,,S,,,S,12
11657_5#64,2006.0,S,S,,R,R,R,S,,R,,,S,372
11679_6#57,2006.0,S,S,,S,S,S,S,,S,,,S,93
11791_3#61,2006.0,S,S,,R,R,R,R,,S,,,S,767
11657_5#65,2006.0,S,S,,R,R,R,S,,S,,,R,393
11657_5#66,2007.0,S,S,,R,R,S,R,,S,,,R,405
11657_5#67,2006.0,S,S,,R,S,S,S,,S,,,S,69
11657_6#60,2007.0,S,S,,R,S,S,S,,S,,,S,10
11679_6#58,2007.0,S,S,,S,S,S,S,,S,,,S,5363
11658_3#48,2006.0,S,S,,S,S,S,S,,S,,,S,1459
11658_3#49,2006.0,S,S,,R,R,S,S,,S,,,S,69
11657_5#68,2006.0,S,S,,R,R,S,S,,S,,,S,394
11657_7#61,2007.0,S,S,,S,S,S,S,,S,,,S,73
11658_3#50,2006.0,S,S,,S,S,S,S,,S,,,S,641
11657_7#62,2007.0,S,S,,S,S,S,S,,S,,,S,95
11679_7#46,2006.0,S,S,,R,R,S,S,,S,,,S,95
11658_3#51,2006.0,S,S,,S,S,S,S,,S,,,S,80
11657_6#61,2006.0,S,S,,S,S,S,S,,S,,,S,648
11679_5#49,2006.0,S,S,,R,R,S,S,,S,,,S,38
11658_3#52,2006.0,S,S,,S,S,S,S,,S,,,S,416
11657_6#62,2007.0,S,S,,R,S,S,S,,S,,,S,405
11679_6#59,2006.0,R,R,,R,R,R,R,,S,,,R,131
11657_5#69,2006.0,S,S,,R,R,S,S,,S,,,R,10
11657_5#70,2006.0,S,S,,S,S,S,S,,S,,,S,5614
11658_4#65,2006.0,S,R,,R,R,S,R,,S,,,R,131
11679_5#50,2006.0,S,S,,R,R,R,S,,S,,,S,998
11791_3#62,2007.0,S,S,,S,S,S,S,,S,,,S,131
11791_6#24,2006.0,R,R,,R,R,S,R,,R,,,R,131
11658_4#66,2006.0,S,R,,R,R,S,R,,S,,,R,131
11679_7#47,2007.0,S,S,,R,R,S,S,,R,,,S,73
11679_7#48,2006.0,S,S,,S,S,S,S,,S,,,S,95
11657_6#63,2006.0,S,R,,R,R,R,R,,S,,,R,131
11679_7#49,2007.0,S,S,,R,S,S,S,,R,,,R,393
11657_6#64,2006.0,S,R,,R,R,S,R,,S,,,R,131
11679_4#57,2006.0,S,S,,R,R,S,R,,S,,,S,73
11657_7#63,2007.0,S,S,,R,S,S,S,,S,,,S,88
11679_6#60,2006.0,S,S,,R,S,S,S,,S,,,S,95
11657_7#64,2006.0,S,S,,R,R,S,S,,S,,,S,69
11657_7#65,2006.0,S,S,,S,S,S,S,,S,,,S,367
11658_3#53,2006.0,S,S,,R,R,S,S,,S,,,S,12
11658_4#67,2006.0,S,S,,R,R,R,R,,S,,,R,964
11679_7#50,2006.0,S,S,,R,S,S,S,,S,,,S,73
11679_5#51,2006.0,S,S,,R,R,S,S,,S,,,S,10
11791_6#25,2006.0,S,S,,R,R,S,S,,S,,,R,131
11679_5#52,2007.0,S,S,,R,R,S,S,,S,,,S,69
11679_7#51,2006.0,S,S,,R,S,S,S,,S,,,S,12
11679_5#53,2007.0,S,S,,R,S,S,S,,S,,,S,10
11679_5#54,2007.0,S,S,,R,S,S,S,,S,,,S,10
11657_6#65,2006.0,S,S,,R,R,R,S,,R,,,R,131
11679_5#55,2006.0,S,S,,R,S,S,S,,S,,,S,95
11658_7#71,2006.0,S,S,,S,S,S,S,,R,,,R,131
11658_4#68,2006.0,S,S,,R,S,S,S,,S,,,R,648
11679_7#52,2006.0,S,S,,S,S,S,S,,S,,,S,12
11679_4#58,2006.0,S,S,,R,R,R,S,,S,,,S,131
11679_8#68,2006.0,S,S,,R,S,S,S,,S,,,S,69
11658_3#54,2007.0,S,S,,R,R,S,S,,S,,,S,12
11791_3#63,2007.0,S,S,,R,R,S,S,,R,,,R,393
11658_3#55,2007.0,R,R,,R,S,S,R,,S,,,R,131
11658_3#56,2007.0,R,R,,R,R,S,R,,R,,,R,131
11679_6#61,2007.0,S,S,,S,S,S,S,,S,,,S,73
11679_5#56,2007.0,S,S,,S,S,S,S,,S,,,S,348
11679_4#59,2007.0,S,S,,S,S,S,S,,S,,,S,88
11679_4#60,2006.0,S,S,,R,S,S,S,,S,,,S,5360
11679_4#61,2006.0,R,R,,R,R,S,R,,R,,,R,405
11679_4#62,2006.0,S,S,,S,S,S,S,,S,,,S,131
11657_6#66,2006.0,S,S,,S,S,S,S,,S,,,S,14
11791_6#26,2006.0,S,S,,R,R,S,S,,S,,,S,95
11658_3#57,2006.0,S,S,,R,S,S,S,,S,,,S,73
11679_6#62,2006.0,S,S,,R,S,S,S,,S,,,S,115
11679_7#53,2006.0,S,S,,R,S,S,R,,S,,,R,648
11679_6#63,2007.0,S,S,,R,S,S,S,,S,,,S,14
11657_7#66,2006.0,R,R,,R,R,R,R,,S,,,R,131
11657_7#67,2008.0,S,S,,S,S,S,S,,S,,,S,73
11679_8#69,2008.0,S,S,,R,S,S,S,,S,,,S,69
11657_5#71,2008.0,S,S,,R,R,S,S,,S,,,S,59
11657_6#67,2008.0,S,R,,R,R,S,R,,S,,,R,131
11657_7#68,2008.0,S,S,,R,S,S,S,,S,,,S,95
11658_3#58,2009.0,R,R,,R,R,S,R,,S,,,R,393
11679_7#54,2009.0,R,R,,R,R,S,R,,S,,,R,131
11679_5#57,2008.0,S,S,,R,S,S,S,,S,,,S,131
11658_7#72,2008.0,S,S,,S,S,S,S,,S,,,S,10
11657_6#68,2008.0,S,S,,S,S,S,S,,S,,,S,10
11658_5#91,2008.0,S,S,,S,S,S,S,,S,,,S,95
11657_7#69,2008.0,S,S,,R,R,R,S,,S,,,S,73
11658_3#59,2008.0,S,S,,R,S,S,S,,S,,,S,93
11679_6#64,2008.0,S,S,,R,S,S,S,,S,,,S,5470
11679_4#63,2008.0,S,S,,S,S,S,S,,S,,,S,95
11658_4#69,2007.0,S,S,,S,S,S,S,,S,,,S,95
11679_7#55,2008.0,S,S,,S,S,S,S,,S,,,S,421
11679_6#65,2008.0,S,S,,S,S,S,S,,S,,,S,95
11679_6#66,2008.0,S,S,,S,S,S,S,,S,,,S,362
11679_5#58,2008.0,S,S,,R,S,S,S,,S,,,S,106
11658_3#60,2008.0,S,S,,R,S,S,R,,S,,,S,569
11679_6#67,2008.0,S,S,,R,R,S,R,,S,,,S,73
11679_7#56,2008.0,S,S,,R,R,S,S,,S,,,S,58
11658_4#70,2008.0,S,S,,R,R,S,S,,S,,,S,69
11657_5#72,2008.0,S,S,,R,R,S,S,,S,,,S,73
11679_7#57,2008.0,S,S,,R,S,S,S,,S,,,S,95
11679_6#68,2008.0,S,S,,R,R,S,S,,S,,,S,648
11658_4#71,2008.0,S,S,,R,R,S,S,,S,,,S,88
11679_4#64,2006.0,S,S,,R,R,S,S,,S,,,R,393
11679_5#59,2006.0,S,S,,R,S,S,S,,S,,,S,124
11657_7#70,2006.0,S,S,,R,R,R,S,,S,,,R,131
11791_7#63,2008.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#71,2008.0,S,S,,S,S,S,S,,S,,,S,73
11791_6#27,2008.0,S,R,,R,S,S,R,,S,,,S,393
11658_4#72,2008.0,S,S,,R,R,S,S,,R,,,S,973
11658_3#61,2008.0,S,S,,R,S,S,R,,S,,,S,141
11679_7#58,2008.0,S,S,,R,S,S,S,,S,,,R,131
11657_7#72,2009.0,S,S,,R,R,S,R,,S,,,S,5604
11658_4#73,2008.0,S,S,,S,S,S,S,,S,,,S,62
11679_4#66,2008.0,S,S,,R,R,S,S,,S,,,R,131
11657_5#73,2008.0,S,S,,R,S,S,S,,S,,,S,12
11658_3#62,2008.0,S,S,,R,S,S,S,,S,,,S,12
11657_6#69,2008.0,S,S,,R,S,S,S,,S,,,S,38
11679_7#59,2008.0,S,S,,S,S,S,S,,S,,,S,73
11679_4#67,2007.0,S,S,,R,S,S,S,,S,,,S,144
11658_3#64,2008.0,S,S,,R,R,S,S,,S,,,S,73
11679_5#60,2009.0,S,S,,S,S,S,S,,S,,,S,127
11658_5#92,2009.0,S,S,,R,S,S,S,,S,,,S,405
11657_7#73,2009.0,S,S,,R,S,S,S,,S,,,R,131
11679_6#69,2006.0,S,S,,S,S,S,S,,S,,,S,1231
11658_3#65,2006.0,S,S,,S,S,S,S,,S,,,R,393
11679_5#61,2006.0,S,S,,R,S,S,S,,S,,,S,23
11679_5#62,2007.0,S,S,,S,S,S,S,,S,,,S,10
11791_7#64,2008.0,S,S,,R,S,S,S,,S,,,S,73
11657_5#74,2008.0,S,S,,S,S,S,S,,S,,,S,538
11658_6#91,2008.0,R,R,,R,R,S,R,,R,,,R,131
11679_5#63,2008.0,S,S,,R,S,S,S,,S,,,S,62
11679_7#60,2008.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#74,2008.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#75,2008.0,S,S,,S,S,S,S,,S,,,S,393
11657_7#76,2007.0,S,S,,R,S,S,S,,S,,,S,73
11658_7#73,2009.0,S,S,,S,S,S,S,,S,,,S,95
11657_7#77,2009.0,S,S,,R,R,S,S,,R,,,S,131
11658_8#93,2009.0,R,R,,R,S,S,R,,S,,,R,131
11679_8#70,2009.0,S,S,,R,R,S,S,,R,,,S,131
11679_8#71,2009.0,S,S,,R,S,S,S,,S,,,S,86
11679_7#61,2009.0,S,S,,R,R,R,R,,S,,,S,648
11657_5#75,2009.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#78,2008.0,S,S,,S,S,S,R,,S,,,R,131
11658_6#92,2009.0,S,S,,S,S,S,R,,S,,,S,131
11679_6#70,2009.0,S,S,,R,S,S,S,,S,,,S,5639
11658_4#74,2009.0,R,R,,R,R,S,R,,R,,,R,131
11679_8#72,2009.0,S,S,,S,S,S,S,,S,,,S,127
11679_7#62,2008.0,S,S,,R,R,S,S,,S,,,S,929
11679_4#68,2008.0,S,S,,R,R,S,S,,S,,,S,80
11679_4#69,2008.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#79,2008.0,S,S,,S,S,S,S,,S,,,S,352
11658_8#94,2009.0,S,S,,R,S,S,R,,S,,,S,38
11791_3#64,2009.0,S,S,,R,S,S,S,,S,,,S,648
11658_5#93,2009.0,S,S,,R,S,S,S,,S,,,S,2020
11657_6#70,2009.0,S,S,,R,S,S,S,,S,,,S,409
11679_7#63,2009.0,R,S,,R,R,R,R,,S,,,S,73
11679_5#64,2009.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#80,2009.0,S,S,,R,S,S,S,,S,,,S,127
11658_4#75,2009.0,S,S,,R,R,S,S,,S,,,S,144
11791_6#28,2009.0,S,S,,R,R,S,S,,S,,,S,12
11679_7#64,2009.0,S,S,,S,S,S,S,,S,,,S,657
11658_6#93,2009.0,S,S,,S,S,S,S,,S,,,S,14
11658_4#76,2008.0,S,S,,R,S,S,S,,S,,,S,540
11658_7#74,2008.0,S,S,,R,R,S,S,,S,,,S,540
11658_4#77,2008.0,S,S,,S,S,S,R,,R,,,R,131
11791_6#29,2008.0,R,R,,R,R,S,R,,R,,,R,38
11657_5#76,2009.0,S,S,,R,R,R,R,,S,,,S,405
11679_4#70,2009.0,S,S,,S,S,S,S,,S,,,S,127
11679_5#65,2009.0,S,S,,R,S,S,S,,S,,,S,73
11679_4#71,2009.0,S,S,,R,R,S,S,,S,,,S,73
11658_3#66,2009.0,S,S,,R,R,S,S,,S,,,S,73
11791_3#65,2009.0,S,S,,R,R,S,S,,S,,,S,69
11657_7#81,2009.0,S,S,,R,R,S,R,,S,,,S,405
11658_3#67,2009.0,S,S,,S,S,S,R,,S,,,S,73
11679_7#65,2009.0,S,S,,S,S,S,S,,S,,,S,88
11679_7#66,2009.0,S,S,,R,R,S,S,,S,,,S,80
11657_6#71,2009.0,S,S,,R,S,S,S,,S,,,S,95
11679_6#71,2009.0,S,S,,S,S,S,S,,S,,,S,162
11658_4#78,2009.0,S,S,,S,S,S,S,,S,,,S,10
11679_6#72,2009.0,R,R,,R,R,S,R,,S,,,S,88
11658_4#79,2009.0,S,S,,R,S,S,S,,S,,,S,73
11658_7#75,2009.0,S,S,,R,S,S,S,,S,,,S,59
11791_6#30,2009.0,S,S,,R,R,S,R,,S,,,R,131
11658_3#68,2009.0,S,S,,S,S,S,S,,S,,,S,69
11679_7#67,2009.0,S,S,,S,S,S,S,,S,,,S,5328
11657_5#77,2009.0,S,S,,S,S,S,S,,S,,,S,676
11658_4#80,2009.0,S,R,,R,R,S,R,,S,,,R,131
11658_3#69,2009.0,S,S,,R,S,S,S,,S,,,S,394
11657_6#72,2009.0,S,S,,R,R,S,S,,S,,,S,131
